Date,Traffic,Desktop Share,Mobile Share,Rating,Main Traffic Source
01-Jan-03,1554,1.05,98.95,1.5,Direct
01-Feb-03,2820,0.01,99.99,17.3,Direct
01-Mar-03,2970,0.94,99.06,9.1,Direct
01-Apr-03,2111,35.36,64.64,9.5,Direct
01-May-03,2393,39.72,60.28,12.9,Direct
01-Jun-03,3704,2.68,97.32,4.4,Direct
01-Jul-03,3760,3.82,96.18,9.2,Direct
01-Aug-03,3698,0.4,99.6,12,Social
01-Sep-03,4243,42.26,57.74,3.8,Direct
01-Oct-03,3177,3.14,96.86,1.7,Direct
01-Nov-03,2361,0.67,99.33,5.7,Direct
01-Dec-03,2762,0.14,99.86,-15.3,Direct
01-Jan-04,4298,27.8,72.2,4.4,Direct
01-Feb-04,3838,16.64,83.36,-4.4,Direct
01-Mar-04,3754,35.03,64.97,1.9,Direct
01-Apr-04,3817,0.28,99.72,-9.2,Direct
01-May-04,3175,0.3,99.7,-21.8,Direct
01-Jun-04,2336,12.9,87.1,-9.2,Direct
01-Jul-04,2597,1.12,98.88,50.6,Referral
01-Aug-04,3715,0.62,99.38,6.1,Referral
01-Sep-04,4459,17.44,82.56,7.2,Direct
01-Oct-04,4483,20.25,79.75,23.1,Direct
01-Nov-04,4225,59.11,40.89,2.2,Direct
01-Dec-04,3111,2.8,97.2,163.8,Social
01-Jan-05,2353,15.77,84.23,3.6,Direct
01-Feb-05,3198,42.55,57.45,6.7,Direct
01-Mar-05,4432,0.59,99.41,-14,Referral
01-Apr-05,4664,34.94,65.06,3.2,Direct
01-May-05,4471,17.75,82.25,-3.5,Search
01-Jun-05,4486,62.57,37.43,5.8,Direct
01-Jul-05,3527,2.44,97.56,,Direct
01-Aug-05,2514,15.37,84.63,0.7,Direct
01-Sep-05,2993,5.56,94.44,251.3,Referral
01-Oct-05,4728,1.99,98.01,3.6,Direct
01-Nov-05,4883,1.62,98.38,-13.5,Direct
01-Dec-05,5071,27.34,72.66,1.2,Search
01-Jan-06,4638,32.45,67.55,-1.2,Direct
01-Feb-06,3757,0.14,99.86,-1.6,Direct
01-Mar-06,2761,0.49,99.51,-5,Referral
01-Apr-06,3423,0.7,99.3,-7.4,Referral
01-May-06,5066,53.34,46.66,4.7,Direct
01-Jun-06,4928,52.47,47.53,0.7,Direct
01-Jul-06,4996,0.15,99.85,-23,Referral
01-Aug-06,5004,0.25,99.75,-22,Direct
01-Sep-06,3675,28.44,71.56,-13.6,Direct
01-Oct-06,2556,0.74,99.26,19.6,Direct
01-Nov-06,3732,1.32,98.68,1.7,Direct
01-Dec-06,4958,3.09,96.91,-31,Direct
01-Jan-07,4869,1.55,98.45,-6,Referral
01-Feb-07,5224,5.19,94.81,-5.1,Direct
01-Mar-07,4890,10.62,89.38,-11.4,Direct
01-Apr-07,3678,19.88,80.12,-4.4,Direct
01-May-07,2456,53.35,46.65,4.6,Direct
01-Jun-07,3444,73.32,26.68,7.1,Referral
01-Jul-07,5000,16.43,83.57,37.2,Direct
01-Aug-07,5496,70.35,29.65,2,Direct
01-Sep-07,5059,1.26,98.74,16.5,Direct
01-Oct-07,4813,0.01,99.99,-22,Referral
01-Nov-07,3810,23.3,76.7,12.3,Direct
01-Dec-07,2682,54.5,45.5,2.3,Direct
01-Jan-08,3332,0.44,99.56,-2.3,Direct
01-Feb-08,4872,0.2,99.8,5.1,Referral
01-Mar-08,5097,15.47,84.53,2.6,Direct
01-Apr-08,4714,36.31,63.69,12.3,Direct
01-May-08,5048,36.48,63.52,0.2,Direct
01-Jun-08,3698,5.32,94.68,-17.8,Direct
01-Jul-08,2670,3.03,96.97,3.7,Direct
01-Aug-08,3416,17.39,82.61,3.6,Search
01-Sep-08,4731,1.28,98.72,-11.3,Direct
01-Oct-08,4820,21.99,78.01,3.3,Direct
01-Nov-08,4813,3.51,96.49,6.8,Direct
01-Dec-08,4393,0,100,1.7,Direct
01-Jan-09,3316,4.52,95.48,6.3,Direct
01-Feb-09,2416,37.63,62.37,8.8,Direct
01-Mar-09,2934,6.21,93.79,9.6,Direct
01-Apr-09,2732,0.58,99.42,-19.8,Direct
01-May-09,3805,8.48,91.52,-2.7,Direct
01-Jun-09,3748,17.37,82.63,5.9,Direct
01-Jul-09,3678,0.65,99.35,10.4,Direct
01-Aug-09,3322,0,100,58.9,Referral
01-Sep-09,2701,9.87,90.13,-11.9,Direct
01-Oct-09,3263,60.42,39.58,-6,Direct
01-Nov-09,4105,9.93,90.07,-6.1,Direct
01-Dec-09,4156,26.51,73.49,-8.3,Direct
01-Jan-10,4153,0.44,99.56,17.4,Direct
01-Feb-10,4256,19.65,80.35,74.8,Referral
01-Mar-10,3818,2.67,97.33,7.3,Direct
01-Apr-10,3045,0.65,99.35,4.8,Direct
01-May-10,4079,58.99,41.01,4.2,Direct
01-Jun-10,4899,20.67,79.33,-2.5,Search
01-Jul-10,4943,6.34,93.66,,Direct
01-Aug-10,4907,0.75,99.25,12.3,Referral
01-Sep-10,4933,3.29,96.71,5.8,Direct
01-Oct-10,4665,3.02,96.98,-10.4,Direct
01-Nov-10,3366,43.42,56.58,0.9,Direct
01-Dec-10,3976,2.01,97.99,-17,Direct
01-Jan-11,4981,28.49,71.51,-5.7,Direct
01-Feb-11,5331,0.23,99.77,5.2,Direct
01-Mar-11,5331,10.49,89.51,4.8,Direct
01-Apr-11,5063,55.55,44.45,7.1,Direct
01-May-11,4252,5.87,55.25,-2.3,Direct
01-Jun-11,3656,58.5,69.54,5.1,Direct
01-Jul-11,4152,14.3,12.85,1.6,Direct
01-Aug-11,5089,6.75,66.87,6.8,Direct
01-Sep-11,5491,1.99,88.54,-4.2,Referral
01-Oct-11,5665,11.1,77.69,2.6,Referral
01-Nov-11,5423,2.8,63.54,12.3,Direct
01-Dec-11,4688,25.8,22.84,4.9,Direct
01-Jan-12,4055,15.8,29.87,11.26,Direct
01-Feb-12,4830,0.87,48.67,3.3,Social
01-Mar-12,5908,1.65,56.9,6.8,Direct
01-Apr-12,5633,28.4,84.56,4.6,Direct
01-May-12,5786,44.6,98.5,2.9,Direct
01-Jun-12,5967,3.87,26.84,10.36,Direct
01-Jul-12,4937,6.98,45.21,6.9,Direct
01-Aug-12,4327,54.25,69.87,2.4,Direct
01-Sep-12,5086,15.85,63.54,8.6,Referral
01-Oct-12,6038,14.35,45.96,-4.9,Referral
01-Nov-12,6324,43.42,78.36,-6.2,Direct
01-Dec-12,6062,2.01,42.38,9.8,Direct
01-Jan-13,5520,25.6,67.84,1.2,Direct
01-Feb-13,4670,2.9,88.54,5.3,Direct
01-Mar-13,4171,15.21,69.69,7.9,Direct
01-Apr-13,4716,28.49,78.25,4.6,Direct
01-May-13,5939,0.23,99.65,-6,Social
01-Jun-13,6361,0.25,57.84,-6.1,Direct
01-Jul-13,6659,15.2,63.58,-8.3,Direct
01-Aug-13,6264,16.3,96.22,2.6,Direct
01-Sep-13,5359,10.49,75.69,4.8,Direct
01-Oct-13,4593,55.55,85.36,3.6,Direct
01-Nov-13,5092,15.55,48.69,1.9,Direct
01-Dec-13,6563,29.2,66.36,4.2,Referral
01-Jan-14,6124,16.33,84.26,-2.5,Direct
01-Feb-14,5817,14.98,62.59,5.6,Direct
01-Mar-14,6057,54.2,75.24,12.3,Direct
01-Apr-14,4958,22.6,66.23,5.8,Direct
01-May-14,3651,24.55,79.84,-6.9,Direct
01-Jun-14,4248,14.58,55.24,5.9,Referral
01-Jul-14,5624,0.98,82.24,2.8,Direct
01-Aug-14,5595,2.8,78.36,-6.3,Direct
01-Sep-14,5213,15.2,42.38,5.9,Direct
01-Oct-14,5156,28.5,52.69,1.7,Search
01-Nov-14,4350,15.88,25.66,6.3,Direct
01-Dec-14,3446,45.8,48.2,8.8,Direct
01-Jan-15,3945,22.8,67.84,,Direct
01-Feb-15,4639,36.5,88.54,,Direct
01-Mar-15,5224,15.2,69.69,1.6,Direct
01-Apr-15,5242,11.8,47.26,2.6,Direct
01-May-15,4939,17.98,96.45,4.6,Direct
01-Jun-15,4387,21.5,25.44,1.2,Referral
01-Jul-15,3327,13.55,63.21,6.9,Referral
01-Aug-15,3692,14.3,78.25,2.4,Referral
01-Sep-15,4734,6.75,99.65,9.6,Social
01-Oct-15,4727,5.69,12.58,-19.8,Search
01-Nov-15,4994,15.23,67.52,-2.7,Social
01-Dec-15,4767,1.99,57.84,5.9,Referral
01-Jan-16,4124,11.1,63.58,9.2,Social
01-Feb-16,3230,18.5,96.22,2.6,Referral
01-Mar-16,3906,22.3,84.26,-5.9,Direct
01-Apr-16,4895,2.8,26.25,-8.1,Direct
01-May-16,4871,25.8,75.69,2.6,Direct
01-Jun-16,4989,15.8,85.36,6.2,Search
01-Jul-16,4633,36.5,29.25,7.6,Direct
01-Aug-16,4475,25.8,48.52,-5.7,Direct
01-Sep-16,2967,0.87,63.25,5.2,Referral
01-Oct-16,3507,1.65,48.69,4.8,Direct
01-Nov-16,4337,26.5,66.36,7.1,Direct
01-Dec-16,4470,14.2,84.26,6.1,Direct
01-Jan-17,4439,15.99,54.22,-3.9,Social
01-Feb-17,4895,28.4,97.2,6.9,Direct
01-Mar-17,3924,44.6,84.23,4.2,Direct
01-Apr-17,2827,3.87,76.32,8.4,Direct
01-May-17,3481,33.6,69.35,1.9,Referral
01-Jun-17,4627,1.98,45.26,3.5,Referral
01-Jul-17,4561,2.55,57.45,1.2,Direct
01-Aug-17,4626,15.68,99.38,-2.6,Direct
01-Sep-17,4137,14.96,72.25,0.2,Direct
01-Oct-17,3555,23.55,99.41,-17.8,Search
01-Nov-17,2671,45.9,65.06,1.8,Direct
01-Dec-17,3486,26.5,82.25,4.6,Direct
01-Jan-18,4000,11.6,94.26,-6.8,Direct
01-Feb-18,3828,17.5,56.21,4.1,Referral
01-Mar-18,3935,16.9,75.29,-6.2,Social
01-Apr-18,3633,14.8,48.26,2.7,Social
01-May-18,2997,12.6,37.43,6.1,Search
01-Jun-18,2194,19.5,97.56,17.4,Direct
01-Jul-18,2948,18.5,92.36,7.8,Direct
01-Aug-18,4049,16.5,58.26,12.4,Direct
01-Sep-18,3792,2.8,41.25,6.2,Search
01-Oct-18,4029,1.2,84.63,-1.2,Direct
01-Nov-18,3945,6.8,94.44,2.6,Direct
01-Dec-18,3523,7.9,78.23,1.2,Direct
01-Jan-19,2646,15.9,67.52,3.7,Referral
01-Feb-19,3454,5.6,88.36,3.6,Direct
01-Mar-19,3703,17.9,98.01,-11.3,Direct
01-Apr-19,3680,25.8,98.38,6.7,Direct
01-May-19,3479,15.5,63.25,-4.8,Social
01-Jun-19,3756,13.9,77.26,-6.1,Referral
01-Jul-19,3289,2.8,72.66,12.1,Direct
01-Aug-19,2416,15.6,67.55,5.2,Direct
01-Sep-19,2793,1.8,25.36,4.6,Direct
01-Oct-19,3749,26.2,75.29,9.7,Social
01-Nov-19,3786,12.8,81.26,-5.5,Referral
01-Dec-19,4002,18.6,99.86,4.8,Direct
01-Jan-20,3823,5.9,99.51,-10.4,Direct
01-Feb-20,3430,14.2,99.3,0.9,Direct
01-Mar-20,2400,6.8,46.66,-17,Direct
01-Apr-20,2835,8.7,67.84,1.6,Direct
01-May-20,4001,12.1,88.54,9.4,Search
01-Jun-20,3795,1.5,56.29,-7.7,Direct
01-Jul-20,3903,11.8,48.26,6.7,Direct
01-Aug-20,3397,13.8,96.25,7.9,Direct
01-Sep-20,3005,2.6,69.69,-5.7,Social
01-Oct-20,2305,5.8,78.25,8.4,Search
01-Nov-20,2696,9.5,99.65,7.3,Direct
01-Dec-20,3866,7.69,84.36,4.8,Direct
01-Jan-21,3826,15.67,77.26,-9.4,Direct
01-Feb-21,3673,15.21,67.36,6.4,Direct
01-Mar-21,3660,11.58,57.29,2.8,Search
01-Apr-21,3136,9.6,57.84,-7.6,Direct
01-May-21,2223,18.9,63.58,3.2,Direct
01-Jun-21,2623,5.78,96.22,1.9,Direct
01-Jul-21,3638,14.99,82.64,-2.7,Search
01-Aug-21,3740,7.58,48.26,10.4,Direct
01-Sep-21,3767,12.84,66.58,5.9,Referral
01-Oct-21,3621,8.67,75.69,-11.9,Direct
01-Nov-21,2971,3.36,85.36,6.7,Direct
01-Dec-21,2221,11.2,57.96,-2.9,Direct
01-Jan-22,2724,14.95,94.26,2.69,Direct
01-Feb-22,3456,12.3,48.26,11.5,Search
01-Mar-22,3581,11.25,48.69,-6.7,Referral
01-Apr-22,2064,0.84,66.36,5.8,Direct
